txt,is_natural
вдогонку спрашивать он,1.0
почему вы всегда всегда правый,1.0
же,0.0
зависть не зависть но нечто болезненный шевелиться в душа,1.0
с обратимый пленка,1.0
ничто особенный в это не быть по этот крыша без конец бегать и плясать и загорать на она,1.0
без бог и трава не расти,1.0
подбривать себя положенный душа ладно не,0.0
она снова ложиться с он рядом повертывать его голова к себя и зашептать в ухо алик просить ты сделать это для я,1.0
а,0.0
что,1.0
бой она в мысль не и тогда,0.0
потому что алик умирать,1.0
тишорты не выдерживать и выходить из комната,1.0
покушать чтобы да полный так плыть тот,0.0
она обнимать горлышко бутылка два рука потом отрывать один рука нащупывать следующий бутылка и ухватываться за она переносить на она тяжесть свой напряженный тело писатель еще немного побасить и осекаться,1.0
а я театр не любить,1.0
обнажаться так поставлять для готлиб но готлиб сдерживать она и неосязаемый цирковой чай,0.0
жалюзи быть полуоткрытый свет падать полосатый прядь,1.0
смущенный и,0.0
жидкость стоять на разный уровень и в этот бутылочный ксилофон он узнавать вдруг свой юношеский мечта,1.0
тот кто сидеть лицо к окно увидеть стоять на рука ирок и замалчивать,1.0
слушать этот музыка он научать она во время тайный встреча и ночной блуждание по город,1.0
это точный легко соглашаться фима и потирать левый щека покрывать воронкообразный след юношеский гормональный бой,1.0
да не хотеть он не хотеть сколько раз я ты говорить марья игнатьевна,1.0
то музыка с секс поражение в она подозревать ложка ложиться поехать я компьютер господь быть заблаговременно розовый ванна но и и расстраиваться другой который ерунда совершенно пахучий сломать отчасти такой давно хотеть хорошо в зайти,0.0
свобода это следующий этот но нравиться как она дома алик глубокий в подумать она алик пробка странный бильярд крещение в ли прогреваться,0.0
раббай не она а вынимать,0.0
а ирина как раз исполняться,1.0
только с условие раббай тоже приводить,1.0
крыша лева простой ну становиться садиться,0.0
чтобы как говорить квартира ловчила,0.0
она входить к он прилегать рядом покрывать волос его угловатый плечо,1.0
индия стопроцентный подружка минута прикосновение он против упасть что,0.0
образ смотреть где южноамериканский и дед заблаговременно с идея раббай пот делать что,0.0
весь полотенце мокрый,1.0
к то же он и моранди тогда не знать,1.0
лечить его невропатолог ставить капельница вводить положенный лекарство,1.0
она иметь в вид давно просрочивать виза но ни один иностранный слово запоминать не уметь,1.0
то быть не совсем понапрасну потому что и здесь находиться любитель ее искусство и она заниматься противозаконный нелицензированный деятельность не бояться никакой неприятность,1.0
фотоаппарат купить с порог заявлять она входить к алик и размахивать над его неподвижный голова новенький коробочка,1.0
быть выставка себя его,0.0
про положительный фототаксис растение о который смутно и таинственно вещать толстуха с мягкий как будто тряпочный лицо он знать из курс ботаника за пятый класс но поскольку он быть все-таки специалист то знать также что чертов аликов болезнь никуда не деваться последний работать мышца диафрагмальный уже отказывать и в близкий день наступать смерть от удушье,1.0
дело понимать в то что я и сам умный еврей,1.0
вроде белок сделать работа,0.0
кто поставлять так потом и не вспомнить,1.0
обрадоваться она,1.0
тетка садиться на самый край сидение растопыривать розовый нога в подследник который на этот континент не водиться,1.0
в трава то какой сила,1.0
маечка претензия что с американский хотя а вывесить,0.0
